Tijd(seconden);T(Contact);T(Contact);;;;;;;Linker metingen zijn zonder dop;;;Rechter metingen zijn met dop;;;lengte buis;15.1 cm;diameter;5.0 cm
0;56.6;46.5;;;;;;;;;;;;;;;;
5;56.2;45.0;;;;;;;;;;;;;;;;
10;55.4;44.3;;;;;;;;;;;;;;;;
15;54.5;43.6;;;;;;;;;;;;;;;;
20;53.4;43.0;;;;;;;;;;;;;;;;
25;52.3;42.6;;;;;;;;;;;;;;;;
30;51.6;42.4;;;;;;;;;;;;;;;;
35;50.8;42.0;;;;;;;;;;;;;;;;
40;50.0;41.5;;;;;;;;;;;;;;;;
45;49.1;41.4;;;;;;;;;;;;;;;;
50;48.2;41.2;;;;;;;;;;;;;;;;
55;47.4;40.8;;;;;;;;;;;;;;;;
60;46.7;40.4;;;;;;;;;;;;;;;;
65;46.1;40.0;;;;;;;;;;;;;;;;
70;45.4;39.9;;;;;;;;;;;;;;;;
75;44.8;39.6;;;;;;;;;;;;;;;;
80;44.2;39.4;;;;;;;;;;;;;;;;
85;43.6;39.3;;;;;;;;;;;;;;;;
90;43.0;38.8;;;;;;;;;;;;;;;;
95;42.4;38.5;;;;;;;;;;;;;;;;
100;41.9;38.4;;;;;;;;;;;;;;;;
105;41.3;38.2;;;;;;;;;;;;;;;;
110;41.0;37.9;;;;;;;;;;;;;;;;
115;40.4;37.7;;;;;;;;;;;;;;;;
120;39.7;37.5;;;;;;;;;;;;;;;;
125;39.3;37.4;;;;;;;;;;;;;;;;
130;39.0;37.3;;;;;;;;;;;;;;;;
135;38.5;37.1;;;;;;;;;;;;;;;;
140;38.0;37.0;;;;;;;;;;;;;;;;
145;37.6;36.6;;;;;;;;;;;;;;;;
150;37.4;36.3;;;;;;;;;;;;;;;;
155;37.1;36.0;;;;;;;;;;;;;;;;
160;36.7;35.7;;;;;;;;;;;;;;;;
165;36.3;35.6;;;;;;;;;;;;;;;;
170;36.2;35.4;;;;;;;;;;;;;;;;
175;36.0;35.1;;;;;;;;;;;;;;;;
180;35.3;34.9;;;;;;;;;;;;;;;;
185;35.1;34.7;;;;;;;;;;;;;;;;
190;35.0;34.6;;;;;;;;;;;;;;;;
195;34.7;34.5;;;;;;;;;;;;;;;;
200;34.4;34.3;;;;;;;;;;;;;;;;
205;34.1;34.2;;;;;;;;;;;;;;;;
210;34.0;34.1;;;;;;;;;;;;;;;;
215;33.8;34.1;;;;;;;;;;;;;;;;
220;33.6;33.9;;;;;;;;;;;;;;;;
225;33.4;33.9;;;;;;;;;;;;;;;;
230;33.1;33.8;;;;;;;;;;;;;;;;
235;33.0;33.8;;;;;;;;;;;;;;;;
240;32.8;33.6;;;;;;;;;;;;;;;;
245;32.6;33.5;;;;;;;;;;;;;;;;
250;32.4;33.5;;;;;;;;;;;;;;;;
255;32.2;33.4;;;;;;;;;;;;;;;;
260;32.0;33.2;;;;;;;;;;;;;;;;
265;31.9;33.2;;;;;;;;;;;;;;;;
270;31.7;33.1;;;;;;;;;;;;;;;;
275;31.5;33.1;;;;;;;;;;;;;;;;
280;31.4;32.9;;;;;;;;;;;;;;;;
285;31.2;32.9;;;;;;;;;;;;;;;;
290;31.2;32.8;;;;;;;;;;;;;;;;
295;30.9;32.8;;;;;;;;;;;;;;;;
300;30.9;32.8;;;;;;;;;;;;;;;;
305;30.7;32.5;;;;;;;;;;;;;;;;
310;30.5;32.3;;;;;;;;;;;;;;;;
315;30.4;32.2;;;;;;;;;;;;;;;;
320;30.4;32.1;;;;;;;;;;;;;;;;
325;30.2;32.2;;;;;;;;;;;;;;;;
330;30.2;32.0;;;;;;;;;;;;;;;;
335;30.2;31.9;;;;;;;;;;;;;;;;
340;30.1;31.8;;;;;;;;;;;;;;;;
345;29.9;31.8;;;;;;;;;;;;;;;;
350;29.9;31.8;;;;;;;;;;;;;;;;
355;29.7;31.7;;;;;;;;;;;;;;;;
360;29.6;31.7;;;;;;;;;;;;;;;;
365;29.5;31.6;;;;;;;;;;;;;;;;
370;29.4;31.4;;;;;;;;;;;;;;;;
375;29.3;31.4;;;;;;;;;;;;;;;;
